;text;option_1;option_2;option_3;option_4;N;Type;Order;Keywords
q2;Breast implants?;more cool than pathetic;more pathetic than cool;;;24839;N;;"sex/intimacy; preference; opinion"
q11;How does the idea of being slapped hard in the face during sex make you feel?;Horrified;Aroused;Nostalgic;Indifferent;28860;N;;sex/intimacy
q12;Divide your age by 2.  Have you had sex with at least that many people?;Yes;No;;;22496;O;;sex/intimacy
q13;Is a girl who's slept with 100 guys a bad person?;Yes;No;;;32581;O;;sex/intimacy
q14;Is a guy who's slept with 100 girls a bad person?;Yes;No;;;31127;O;;sex/intimacy
q16;Should sex with someone 16 years old be a jailable offense, if you're 25 or older?;Yes;No;;;8341;O;;sex/intimacy
q17;Would you date someone just for the sex?;Yes;No;;;38180;O;;sex/intimacy
q18;Do you have experience being in a slave/master relationship?;Yes;No;;;21686;O;;"sex/intimacy; BDSM"
q20;BDSM: Without looking it up, do you know exactly what it stands for?;Yes;No;;;16643;O;;"sex/intimacy; BDSM"
q21;Do you enjoy meaningless sex?;Yes;No;;;31024;O;;sex/intimacy
q22;Do you read erotic fiction?;Yes;No;;;18677;O;;sex/intimacy
q24;Is it wrong to watch pornographic films if you're in a relationship?;Yes;No;;;16666;O;;sex/intimacy
q25;Would you watch a porno movie with your ideal match?;Yes;No;;;13987;O;;sex/intimacy
q26;Have you ever owned sex toys?;Yes;No;;;25010;O;;sex/intimacy
q27;Which is a bigger deal for you?;Telling someone you really care;Oral sex;;;24749;O;;sex/intimacy
q28;Would you dump someone simply because they weren't good at sex?;Yes;No;;;30477;O;;sex/intimacy
q29;Would you rather:;be tied up during sex;do the tying;avoid bondage all together;;30567;N;;"sex/intimacy; BDSM"
q30;Would you like to receive pain during sex?;Yes, lots and lots;Yes, some;No;;32084;O;;"sex/intimacy; BDSM"
q32;Group sex (with 3 or more people):;I have tried it.;It seriously interests me.;I have little or no interest.;;32816;O;;sex/intimacy
q33;Do you like kissing in public?;Yes;No;;;23004;O;;sex/intimacy
q34;Are you more horny or more lonely?;Horny;Lonely;;;23592;N;;sex/intimacy
q35;Regardless of future plans, what's more interesting to you right now?;Sex;Love;;;50384;N;;sex/intimacy
q36;Would you ever consider an open marriage? That means you can sleep with other people.;Yes;No;;;16649;O;;sex/intimacy
q37;How old were you when you lost your virginity?;Under 18;18 or Over;I never have!;;19511;O;;sex/intimacy
q38;Would you ever take your family to a nude beach?;Yes;No;;;5530;O;;sex/intimacy
q39;Would you let your children under 13 watch movies with full nudity?;Yes;No;;;26933;O;;sex/intimacy
q41;How important is religion/God in your life?;Extremely important;Somewhat important;Not very important;Not at all important;54140;O;;religion/superstition
q42;Is your duty to religion/God the most important thing in your life?;Yes;No;;;16024;O;;religion/superstition
q43;Do you believe in some kind of a spiritual, cosmic force outside the realm of most modern religion?;Yes;No;;;6595;O;;religion/superstition
q44;Some religions are more correct than others.;True;False;;;29109;O;;religion/superstition
q45;Do you believe in ghosts?;Yes;No;;;21619;O;;religion/superstition
q46;Would you prefer good things happened, or interesting things?;Good;Interesting;;;52112;N;;preference
q48;Which would you rather be?;Normal;Weird;;;52464;N;;preference
q49;Which word describes you better?;Carefree;Intense;;;49827;N;;descriptive
q50;Have you ever seen a therapist?;Yes;No;;;9507;O;;descriptive
q51;Do you think really abstract art—like just splattered paint—can be truly brilliant?;Yes;No;;;18314;O;;opinion
q53;When telling stories, do you like to exaggerate?;Yes;No;;;12586;O;;preference
q54;Which, on you, is closest to perfection?;Your mind;Your body;Your wallet;Your soul;22704;N;;"religion/superstition; descriptive"
q55;Does the idea of flipping a coin to make important life decisions appeal to you?;Yes;No;;;34393;O;;preference
q56;Are you attracted to dangerous situations?;Yes;No;;;39510;O;;preference
q57;Do you like to argue?;Yes;No;;;33896;O;;preference
q60;Which describes you better?;Warm-hearted;Cool-headed;;;21205;O;;descriptive
q61;Are you a better conversationalist or listener?;Conversationalist;Listener;;;3174;O;;descriptive
q63;Which word describes you better?;Private;Social;;;23765;O;;descriptive
q64;Which is more important in a healthy relationship?;Maintaining privacy;Total openness;;;24393;O;;sex/intimacy
q65;Do you have a problem with racist jokes?;Yes;No;;;38041;O;;preference
q67;Are you modest?;Yes;No;;;5596;O;;descriptive
q68;Are you a highly skilled writer?;Yes;No;;;9320;O;;descriptive
q69;Are you more of a fast or careful talker?;Fast;Careful;;;12184;O;;descriptive
q70;Do you think homosexuality is a sin?;Yes;No;;;48983;O;;religion/superstition
q71;Is interracial marriage a bad idea?;Yes;No;;;32492;O;;politics
q73;Would you rather live in the big city or a small town?;Big city;Small town;;;28084;O;;preference
q74;Do you spend more money on clothes or food?;Clothes;Food;;;33168;N;;preference
q75;How do you like your social plans?;Settled and decided;Tentative;;;16121;O;;preference
q77;How frequently do you drink alcohol?;Very often;Sometimes;Rarely;Never;52467;O;;descriptive
q78;Generally, do you enjoy being drunk?;Yes;No;I don't know, because I've never been drunk.;;30487;M;[3];preference
q79;What's your relationship with marijuana?;I smoke regularly.;I smoke occasionally.;I smoked in the past, but no longer.;Never.;49796;O;;descriptive
q80;What's your deal with harder drugs (stuff beyond pot)?;I do drugs regularly.;I do drugs occasionally.;I've done drugs in the past, but no longer.;I never do drugs.;50107;O;;descriptive
q81;How much do you go 'clubbing' (out dancing in bars)?;Lots;Sometimes;Rarely;Never;31984;O;;descriptive
q82;Have you ever tried Yoga?;Yes;No;;;13960;O;;descriptive
q83;Do you enjoy gossip?;Yes;No;;;15402;O;;preference
q84;Do you regularly go out partying on weeknights?;Yes;No;;;22078;O;;descriptive
q86;Do you own a gun?;Yes;No;;;25688;O;;descriptive
q88;How messy are you?;I'm very messy;I'm average;I'm mostly organized;I'm compulsively neat;26579;O;;descriptive
q90;On a daily basis, do you spend a lot of time trying to make yourself look good?;Yes;No;;;15743;O;;descriptive
q91;Honestly, which do you do more of?;Watch television;Read;;;23830;N;;descriptive
q92;Your friends are:;mostly guys;mostly girls;both guys and girls;;8647;O;1, 3, 2;descriptive
q93;Generally, in life, what makes you happier?;Quality;Variety;;;21406;O;;"preference; opinion"
q94;Are you almost always on time?;Yes;No;;;22041;O;;descriptive
q95;Do you regularly paint or sculpt?;Yes;No;;;8941;O;;descriptive
q96;Are you, or have you ever been, in a band?  (A solo act is fine, too. Don't count school bands.);Yes;No;;;10925;O;;descriptive
q97;Do you write poetry?;Yes;No;;;9999;O;;descriptive
q102;Do you like to play contact sports?;Yes;I do, but I don't play much anymore.;No;;13173;O;;preference
q105;Do you have a child or children?;Yes;No;;;31097;O;;descriptive
q106;Have you ever been married?;Yes;No;;;28994;O;;descriptive
q109;Could you name 5 impressionists, and a painting by each?;Yes;No;;;7998;O;;descriptive
q110;Can you name 5 operas, and their composers?;Yes;No;;;11074;O;;descriptive
q111;Can you name any ballet other than the Nutcracker?;Yes;No;;;10630;O;;descriptive
q112;Would you travel around a third world country, alone?;Yes;No;;;5715;O;;descriptive
q113;Have you ever traveled around another country alone?;Yes;No;;;18395;O;;descriptive
q114;Is it okay to live with someone you're dating, even before you're engaged or married?;Yes;No;;;30969;O;;"sex/intimacy; opinion"
